key,decimal,ternary,skin,body,core,frequency_hz,waveform,pulse_rate_hz,max_harmonics,color_hex
51,380,112002,12,10,20,294.45,Bright Triangle,7.0,9,#9d61c2
52,387,112100,10,10,21,310.59,Soft Triangle,7.0,5,#6161e7
53,395,112122,12,12,21,330.14,Bright Triangle,10.0,9,#9d9de7
54,402,112220,10,12,22,348.24,Soft Triangle,10.0,5,#619dfe
55,410,120012,12,21,00,370.15,Bright Triangle,12.0,9,#9de700
56,418,120111,11,21,01,393.45,Triangle,12.0,7,#86e725
57,425,120202,12,20,02,415.02,Bright Triangle,11.0,9,#9dc23c
58,433,121001,11,20,10,441.14,Triangle,11.0,7,#86c261
59,440,121022,12,22,10,465.33,Bright Triangle,13.0,9,#9dfe61
60,448,121121,11,22,11,494.61,Triangle,13.0,7,#86fe86
61,455,121212,12,21,12,521.74,Bright Triangle,12.0,9,#9de79d
62,463,122011,11,21,20,554.57,Triangle,12.0,7,#86e7c2
63,471,122110,10,21,21,589.46,Soft Triangle,12.0,5,#61e7e7
64,478,122201,11,20,22,621.79,Triangle,11.0,7,#86c2fe
65,486,200000,20,00,00,660.91,Soft Sawtooth,4.0,5,#c20000
66,493,200021,21,02,00,697.16,Sawtooth,6.0,7,#e73c00
67,501,200120,20,02,01,741.02,Soft Sawtooth,6.0,5,#c23c25
68,508,200211,21,01,02,781.67,Sawtooth,5.0,7,#e7253c
69,516,201010,20,01,10,830.85,Soft Sawtooth,5.0,5,#c22561
70,524,201102,22,00,11,883.13,Full Sawtooth,4.0,9,#fe0086
71,531,201200,20,00,12,931.56,Soft Sawtooth,4.0,5,#c2009d
72,539,201222,22,02,12,990.18,Full Sawtooth,6.0,9,#fe3c9d
73,546,202020,20,02,20,1044.48,Soft Sawtooth,6.0,5,#c23cc2
74,554,202112,22,01,21,1110.20,Full Sawtooth,5.0,9,#fe25e7
75,561,202210,20,01,22,1171.09,Soft Sawtooth,5.0,5,#c225fe
76,569,210002,22,10,00,1244.78,Full Sawtooth,7.0,9,#fe6100
77,577,210101,21,10,01,1323.10,Sawtooth,7.0,7,#e76125
78,584,210122,22,12,01,1395.66,Full Sawtooth,10.0,9,#fe9d25
79,592,210221,21,12,02,1483.48,Sawtooth,10.0,7,#e79d3c
80,599,211012,22,11,10,1564.84,Full Sawtooth,8.0,9,#fe8661
81,607,211111,21,11,11,1663.30,Sawtooth,8.0,7,#e78686
82,614,211202,22,10,12,1754.52,Full Sawtooth,7.0,9,#fe619d
83,622,212001,21,10,20,1864.92,Sawtooth,7.0,7,#e761c2
84,630,212100,20,10,21,1982.26,Soft Sawtooth,7.0,5,#c261e7
85,637,212121,21,12,21,2090.98,Sawtooth,10.0,7,#e79de7
86,645,212220,20,12,22,2222.55,Soft Sawtooth,10.0,5,#c29dfe
87,652,220011,21,21,00,2344.44,Sawtooth,12.0,7,#e7e700
88,660,220110,20,21,01,2491.96,Soft Sawtooth,12.0,5,#c2e725
89,667,220201,21,20,02,2628.63,Sawtooth,11.0,7,#e7c23c
90,675,221000,20,20,10,2794.02,Soft Sawtooth,11.0,5,#c2c261
91,683,221022,22,22,10,2969.83,Full Sawtooth,13.0,9,#fefe61
92,690,221120,20,22,11,3132.70,Soft Sawtooth,13.0,5,#c2fe86
93,698,221212,22,21,12,3329.82,Full Sawtooth,12.0,9,#fee79d
94,705,222010,20,21,20,3512.44,Soft Sawtooth,12.0,5,#c2e7c2
95,713,222102,22,20,21,3733.45,Full Sawtooth,11.0,9,#fec2e7
96,720,222200,20,20,22,3938.20,Soft Sawtooth,11.0,5,#c2c2fe
97,728,222222,22,22,22,4186.00,Full Sawtooth,13.0,9,#fefefe
